Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,LifeExpectancy,BirthRate,DeathRate,ElderlyPop,FemaleLabor,Unemployment,Renewable,Energy,Electricity,Developed,HDI,HDIGroup
Afghanistan,AFG,652.23,41.455,62.2,416,73.1,0.14,,4.97,4.05,165,18.4,56.6,0.03,30.4,10.9,62.9,35.1,6.9,2.4,5.3,14.4,20,3.32,156,1,0.462,Low
Albania,ALB,27.4,2.746,101.4,8575,35.4,1.62,1.83,5.12,9.14,8,83.1,97.9,0.02,4.5,10.2,76.8,10.1,11.2,16.3,63.4,11.6,41.9,27.21,2727,2,0.789,High
Algeria,DZA,2381.741,46.164,19.1,5364,24.7,3.89,,13.3,8.82,326,71.2,109.2,0.05,2.5,7.1,77.1,20.6,4.3,6.4,18,11.8,0.1,61.84,1856,1,0.745,High
American Samoa,ASM,0.2,0.048,241.7,18017,12.8,0,,,,,,,,,20.3,,13.8,7.8,7.6,,,0.4,,3318,2,,
Andorra,AND,0.47,0.081,169.6,46812,12.2,,,,15.73,,94.5,142.2,,,9.7,,6.2,4.6,15.4,,,18.7,,,,0.884,Very High
Angola,AGO,1246.7,36.75,28.6,2308,31.3,0.57,,6.9,8.78,117,39.3,67.4,0.44,23.2,4.6,61.9,38.2,7.9,2.8,73.8,14.6,52.9,9.15,441,1,0.591,Medium
Antigua and Barbuda,ATG,0.44,0.093,211,21787,75.7,2.99,,,15.54,0,91.4,197.4,,,11.7,79.2,12,6.1,11.2,,,0.9,108.97,3461,2,0.826,Very High
Argentina,ARG,2736.69,45.538,16.6,14187,7.5,4.05,1.07,1.26,16.22,103,89.2,132.4,0.09,3.2,5.4,76.1,13.8,8.6,12.2,58.9,6.2,9.2,78.5,2518,2,0.849,Very High
Armenia,ARM,28.47,2.991,104.3,8053,36.3,2.13,,16,7.63,47,77,135.3,0.19,2.5,5.6,73.4,11.7,11.9,13.2,68.6,8.6,9.1,57.95,2344,1,0.786,High
Aruba,ABW,0.18,0.107,596.2,33985,55.7,4.24,,,,,,132.3,,,4.3,75,7.2,11.1,16.4,,,8.8,156.36,7676,3,,
Australia,AUS,7692.02,26.659,3.4,64821,13.4,15.11,1.16,5.02,19.32,60,94.9,107,0.01,2.5,6.4,83.2,11.6,7.3,17.4,75.3,3.7,12.3,223.07,10046,3,0.946,Very High
Austria,AUT,82.52,9.132,109.6,56034,40.5,6.77,1.57,1.52,16.89,23,95.3,123.4,,2.5,4.6,81.1,9.1,10.3,20.2,74.7,5.2,36,120.21,7075,3,0.926,Very High
Azerbaijan,AZE,82.65,10.154,122.7,7126,42.4,3.66,0.65,14.92,4.59,82,88,106.9,0.05,2.5,5.6,73.5,12.1,6,8,74.6,5.6,1.3,65.86,2350,1,0.76,High
"Bahamas, The",BHS,10.01,0.399,39.7,35897,16.4,3.64,,,13.75,2,94.4,98.5,0.15,,8.8,74.4,11.4,7.3,11.5,71.8,9.2,1.1,101.07,5097,3,0.82,Very High
Bahrain,BHR,0.79,1.577,1930,29219,10.1,24.89,0.37,10.8,8.69,19,100,145.4,,,11.3,79.2,11.5,2.5,3.6,46.3,1.2,0,562.22,22250,3,0.888,Very High
Bangladesh,BGD,130.17,171.467,1301.3,2551,59.5,0.64,,7.7,3.08,227,44.5,105.3,0.01,11.9,14.2,73.7,17.5,5.3,6.3,39.5,5.1,25,11.37,626,1,0.67,Medium
Barbados,BRB,0.43,0.282,656.6,23804,68.6,2.39,,,12.42,1,76.2,114.9,0.21,3.5,14,77.7,10.8,9.1,16.1,71.9,8,5.5,68.38,3630,2,0.809,Very High
Belarus,BLR,202.99,9.178,45.5,7829,19.3,6.22,0.67,32.12,13.15,158,91.5,123.4,0.11,2.5,5.6,73.1,9.2,15.5,17.1,76.3,3.6,8.2,100.6,4345,2,0.801,Very High
Belgium,BEL,30.494,11.787,383,54701,1.8,7.74,1.75,2.23,15.46,24,94.6,101.9,0.04,2.5,3.6,81.7,9.8,10,20.1,67.8,5.5,11.7,190.42,6323,3,0.942,Very High
Belize,BLZ,22.81,0.411,17.7,7460,53.4,0.67,,3.57,13.66,2,70.4,66,0.35,4.6,14.5,71,17.8,6.3,4.8,52.6,8.3,30.8,30.77,1448,1,0.7,High
Benin,BEN,112.76,14.111,122,1394,49.9,0.7,,3.03,1.6,12,33.8,109,0.11,10.3,1.1,60,36.1,9.3,3.1,57.3,1.5,54.5,6.66,103,1,0.504,Low
Bermuda,BMU,0.054,0.065,1199.1,125842,0,4.9,,,,,,105.9,,,13,81.6,7.5,9.1,20.9,,,0.9,123.94,9125,3,,
Bhutan,BTN,38.14,0.786,20.5,3711,55.6,2.19,,,5.61,,86.8,94.9,0.08,,10.4,72.2,12.3,6.4,6.4,67.8,5.7,82.5,64,15150,3,0.681,Medium
Bolivia,BOL,1083.3,12.244,11.1,3686,28.8,1.82,0.54,3.94,17.1,71,73.3,99.6,0.16,23,5.5,64.9,21.6,9.1,5.6,60.8,3.1,12.8,29,887,1,0.698,Medium
Bosnia and Herzegovina,BIH,51.2,3.185,62.6,8639,49.7,6.81,1.28,2,16.42,11,83.4,117.9,,2.5,9.1,75.3,8.3,15.9,21.6,50.4,10.4,36.6,90.49,4040,2,0.779,High
Botswana,BWA,566.73,2.48,4.3,7820,27.1,3.37,,8.07,14.62,9,77.3,165.3,1.92,24.3,5.2,65.9,23,6.9,4,62.7,23.4,27.4,30.08,1564,1,0.708,High
Brazil,BRA,8358.14,211.141,25.2,10295,12.2,2.22,1.01,2.87,10.94,762,84.2,98.9,0.24,3.9,8.8,73.4,12.6,8.1,10.6,60.9,8,46.5,48.89,2882,2,0.76,High
British Virgin Islands,VGB,0.15,0.039,255.5,,50.3,1.69,,,,,,120.9,,,8.7,76.4,7.6,6.5,9.2,,,1.3,82.82,4202,2,,
Brunei Darussalam,BRN,5.27,0.459,86.4,32963,20.9,20.59,,9.16,7.06,8,99,117.8,,,11.1,74.6,13.5,5.4,6.5,59.8,5.3,0,409.09,11070,3,0.823,Very High
Bulgaria,BGR,108.56,6.447,61.2,15886,23.3,7.54,1.35,4.06,12.92,37,80.4,117.4,0.03,2.5,7.4,74.4,8.8,18.4,21.8,70.4,4.3,20.4,102.17,5308,3,0.799,High
Burkina Faso,BFA,273.6,23.026,82.3,883,67.5,0.26,,12.43,9.84,11,19.9,111.7,0.08,15.4,2.1,59.8,35,8.7,2.6,59.3,5.3,71.4,3.45,134,1,0.438,Low
Burundi,BDI,25.68,13.689,518.7,193,85.2,0.07,,7.22,7.33,31,11.3,58,0.1,,6.5,62,34.1,7.3,2.5,79.4,0.9,83,0.98,32,1,0.42,Low
Cabo Verde,CPV,4.03,0.522,129,4851,32,1.95,,1.57,15.75,1,72.1,99.2,0.34,12.6,2.1,74.7,16.7,5.7,6.6,55.3,12,21.8,17.45,766,1,0.661,Medium
Cambodia,KHM,176.52,17.424,97.4,2430,74.4,1.02,1.16,7.66,6.99,191,56.7,116.3,0.08,4.6,7.3,69.9,19,6.8,6,73.9,0.2,52.4,15.66,976,1,0.6,Medium
Cameroon,CMR,472.71,28.373,58.5,1737,40.7,0.36,,5.57,2.86,34,43.9,82.8,0.36,5.7,5.5,61,34.4,8.2,2.8,67.8,3.6,79.2,4.23,217,1,0.587,Medium
Canada,CAN,8788.7,40.098,4.4,53431,18.1,14.95,1.07,2.88,19.18,72,94,91.2,0.04,2.5,7.7,81.3,9,8.6,19.4,76.8,5.4,23.8,311.62,13858,3,0.935,Very High
Cayman Islands,CYM,0.24,0.073,298.3,97750,0,4.29,,,,,,146.8,,,13,82,11.7,4.5,8.5,,,0,150.85,9567,3,,
Central African Republic,CAF,622.98,5.152,8.2,496,56.4,0.05,,8.96,6.42,10,10.6,33.6,1.57,23.5,5.8,54.5,42.3,11,2.1,63.8,6.3,90.9,0.86,26,1,0.387,Low
Chad,TCD,1259.2,19.319,14.7,681,75.6,0.11,,17.52,4.87,45,12.2,68.2,0.22,35.1,5.8,53,43.2,12.2,2.1,48.6,1.1,70,1.59,15,1,0.394,Low
Channel Islands,CHI,0.198,0.168,842.1,74589,68.8,,,,,,,,,,6.3,81.6,10.2,8.2,19.7,65.4,6,,,,,,
Chile,CHL,743.532,19.659,26.3,17068,12,4.75,1.26,7.01,18.54,114,94.1,134.7,0.25,2.5,10.8,79.5,11.8,7.2,13.7,58.2,9,24.2,71.42,4237,2,0.86,Very High
China,CHN,9388.21,1410.71,150.4,12614,35.4,8.97,0.84,4.79,8.91,2535,77.5,124.9,,2.5,10.6,78.6,6.8,7.4,14.3,70.9,4.7,15.2,113.8,6317,3,0.788,High
Colombia,COL,1109.5,52.321,46.6,6947,17.6,1.71,0.94,9.18,19.01,428,72.8,155.8,0.16,4.2,8.3,73.7,13.9,7.4,9.4,56.3,9.6,29.7,29.31,1573,1,0.758,High
Comoros,COM,1.861,0.85,448.2,1590,69.9,0.41,,,4.72,,27.3,100.2,0.01,16.9,11.7,63.7,28.9,8.5,4.5,34.3,5.8,39.3,7.14,133,1,0.586,Medium
"Congo, Dem. Rep.",COD,2267.05,105.79,45.2,628,52.6,0.03,,,4.34,134,27.2,50.3,0.13,37,5.8,59.7,41.7,9.4,3.1,63.5,4.5,96.3,1.35,152,1,0.481,Low
"Congo, Rep.",COG,341.5,6.183,17.7,2478,30.8,1.23,,10.13,8.22,12,36.2,96.8,2.89,26.8,5.5,63.1,30.2,7.3,2.9,67.6,20.1,71.4,7.44,458,1,0.593,Medium
Costa Rica,CRI,51.06,5.106,99.5,16942,17.4,1.69,1.3,,25.37,10,85.1,152,0.14,2.5,8.8,77.3,11.7,7.1,11.7,57,8.3,34.2,30.73,1950,1,0.806,Very High
Cote d'Ivoire,CIV,318,31.166,95.6,2531,46.9,0.48,,,5.06,27,38.4,174,0.31,9.6,2.1,58.9,33.5,8.8,2.6,58,2.4,58.2,8.49,281,1,0.534,Low
Croatia,HRV,55.96,3.86,68.9,21865,41.4,4.47,1.47,3.93,13.99,20,83.2,111.2,0.02,2.5,4.8,77.6,8.8,14.8,22.8,65.4,6.1,34.1,79.91,4251,2,0.878,Very High
Cuba,CUB,103.8,11.02,106.5,9605,22.5,2.24,,,21.48,76,73.2,67.8,0.18,2.5,7.6,78.2,8.9,9.9,16.2,51.1,1.2,20.9,25.66,1085,1,0.764,High
Curacao,CUW,0.444,0.148,337.8,22192,11,,,,,,,88.3,,,11.7,,8.2,9.3,16.3,,,2.8,,,,,
Cyprus,CYP,9.24,1.345,144.1,36551,33,5.6,1.44,4.52,18.37,13,91.2,148.7,0.03,2.5,8.6,81.9,10,7,14.3,72.1,6,15.6,107.19,3864,2,0.907,Very High
Czechia,CZE,77.172,10.864,138.3,31591,25.4,9.51,1.52,3.17,17.58,27,86,128.4,0.02,2.5,7.1,79,9.5,11.3,20.5,70.3,2.6,17.2,136.31,5857,3,0.895,Very High
Denmark,DNK,40,5.947,147.6,68454,11.5,4.94,1.98,2.93,17.78,15,98.8,126.5,0.01,2.5,5.3,81.3,9.9,10.1,20.6,78,5.1,39.5,98.51,5928,3,0.952,Very High
Djibouti,DJI,23.18,1.153,49.1,3555,21.4,0.67,,,4.2,13,65,46.3,,12.9,7.4,62.9,21.9,9,4.7,19.3,26.3,26.9,10.58,507,1,0.515,Low
Dominica,DMA,0.75,0.067,89.1,9833,28,1.03,,,7.24,,83.4,85.9,,13.4,11.7,73,13.3,8.9,12.7,,,8.9,33.14,2193,1,0.74,High
Dominican Republic,DOM,48.198,11.331,233,10718,15.6,2.09,,3.93,17.74,71,84.4,90.4,0.37,4.6,10.5,74.2,18.1,6.1,7.6,54.8,5.6,14.8,39.32,1959,1,0.766,High
Ecuador,ECU,248.36,17.98,71.8,6610,35.2,2.59,,6.32,14.76,42,72.7,97.2,0.11,13.9,4.4,77.9,16.6,4.8,8.1,57.5,3.4,18.9,35.7,1630,1,0.765,High
"Egypt, Arab Rep.",EGY,995.45,114.536,113.1,3457,56.9,2.36,0.3,4.34,6.8,836,72.2,93.2,0.05,8.5,20.9,70.2,22.1,6.4,5,17.5,7.3,6.1,34.97,1415,1,0.728,High
El Salvador,SLV,20.72,6.31,303.1,5391,24.6,1.27,0.94,4.3,20,42,62.9,181.6,0.13,6.8,6.3,71.5,15.8,8.2,8,50.1,2.8,21.9,24.21,1004,1,0.674,Medium
Equatorial Guinea,GNQ,28.05,1.848,64.3,6678,25.6,2.8,,8.03,5.36,1,66.8,53.3,2.94,,5.5,61.2,29.9,8.7,3.6,52.8,8.7,4.2,58.73,759,1,0.65,Medium
Eritrea,ERI,121.041,3.47,28.2,,56.7,0.24,,,2.35,202,26.6,49.7,0.06,,6.5,66.6,28.4,6.7,4.2,73.9,5.9,80.7,2.76,112,1,0.493,Low
Estonia,EST,42.73,1.37,31.6,30133,30.2,8.04,1.57,5.34,13.76,7,93.2,155,0.1,2.5,6.5,77.9,8.6,12.8,20.9,79.5,6.3,38,73.68,6302,3,0.899,Very High
Eswatini,SWZ,17.2,1.231,70.9,3611,75.2,1.11,,,12.3,,58.3,122.2,4.1,12.4,4.6,56.4,23.6,11.9,4.1,49.7,37.6,64.7,18.82,1063,1,0.61,Medium
Ethiopia,ETH,1128.571,128.692,111.1,1272,76.8,0.17,,6.15,7.1,138,19.4,56,0.08,22.2,5,65.6,31.8,6.5,3.2,77.1,3.5,90.6,2.37,96,1,0.492,Low
Faroe Islands,FRO,1.37,0.054,39.4,71718,57,0.04,,,,,,112,,,3.8,83.3,11.8,9.1,17.7,,,7.9,,8503,3,,
Fiji,FJI,18.27,0.924,50.3,5889,41.3,1.84,,4.22,9.44,4,85.2,107.2,0.33,7.8,17.7,68.3,19.1,8.2,6.3,41.2,4.3,28.4,25.04,1134,1,0.729,High
Finland,FIN,303.948,5.584,18.3,52926,14.2,6.72,1.75,3.22,15.07,22,93.5,128.7,,2.5,6.1,81.2,8.1,11.4,23.6,78.9,7.2,50.2,183.54,13865,3,0.942,Very High
France,FRA,547.557,68.287,124.3,44691,18.2,4.63,1.86,3.43,15.76,304,86.8,118.8,0.09,2.5,5.3,82.2,10.6,9.8,21.7,71.8,7.3,16.2,123.53,6085,3,0.91,Very High
French Polynesia,PYF,3.471,0.281,80.8,20739,37.7,3.41,,,,,,107,,5.4,25.2,83.6,12.6,3.6,10.7,56.4,11.7,7,,2382,1,,
Gabon,GAB,257.67,2.485,9.4,7803,9,2.27,,8.49,9.59,7,73.7,125.4,0.83,20.1,5.5,65.7,26.8,7.3,4,41.1,20.4,91.3,22.54,1277,1,0.693,Medium
"Gambia, The",GMB,10.12,2.698,260.5,888,35.5,0.23,,2.96,7.54,4,54.2,101.4,0.6,20.5,1.9,62.9,32.7,7.1,3,57.5,6.5,47.7,2.66,152,1,0.495,Low
Georgia,GEO,69.49,3.715,65,8284,39.3,3.24,,5.26,10.54,26,81.9,156.1,0.14,4,5.7,71.6,13.1,15.2,15.3,60.9,11.6,25.2,57.27,3383,2,0.814,Very High
Germany,DEU,349.36,83.28,239.9,54343,22.2,8.04,1.81,2.75,19.95,183,92.5,125.2,0.02,2.5,6.9,80.7,8.8,12.7,22.8,76.2,3,17.6,120.46,6240,3,0.95,Very High
Ghana,GHA,227.533,33.788,145.7,2260,40.8,0.74,1,1.54,8.2,16,69.8,119.6,0.53,6.2,2.6,63.9,27.1,7.6,3.6,67.1,3.1,39,10.49,578,1,0.602,Medium
Gibraltar,GIB,0.01,0.038,3685.8,,0,17.64,,,,,,112.4,,,,82.8,10.6,8.5,17.5,,,0,,5556,3,,
Greece,GRC,128.9,10.406,81,23401,19.3,5.44,1.85,7.26,9.41,147,85,109.1,0.08,2.5,6.4,80.6,7.3,13.4,23.5,61.2,11,21.5,92.69,4510,2,0.893,Very High
Greenland,GRL,410.45,0.057,0.1,57116,12.1,8.22,,,,,,118.4,,,3.3,71.5,13.2,9.3,10.1,,,11.7,,9399,3,,
Grenada,GRD,0.34,0.117,343.9,11246,62.9,1.05,,,6.99,,79.9,81.1,,,12.6,75.3,15.6,7.9,11.9,,,10,38.7,1891,1,0.793,High
Guam,GUM,0.54,0.167,305.9,41833,4.8,0,,,,,,,,,19.1,78.3,16.4,6.6,12.1,65.8,5.4,6.7,,10298,3,,
Guatemala,GTM,107.16,18.125,166.6,5763,46.9,1.13,0.92,3.21,17.41,43,54.4,115.2,0.07,12.6,13.1,68.7,20.9,6.8,4.7,42.3,2.7,62.1,17.13,674,1,0.629,Medium
Guinea,GIN,245.72,14.405,57.2,1541,61.9,0.27,,11.33,4.49,13,33.9,101.9,0.43,10.3,2.1,59,33.9,9.9,3.4,43.6,5.3,66.6,5.24,252,1,0.471,Low
Guinea-Bissau,GNB,28.12,2.153,74.9,951,54.5,0.17,,7.24,4.6,4,31.6,125.9,0.59,32.2,2.1,59.9,30.6,8.6,3.1,49.6,3.2,87.4,2.35,37,1,0.483,Low
Guyana,GUY,196.85,0.826,4.2,20765,72.8,4.63,,3.78,12.85,3,85.3,106.4,0.62,2.5,11.7,66,19.9,9.8,6.5,41.9,12.4,12.1,46.75,1294,1,0.742,High
Haiti,HTI,27.56,11.637,417.4,1706,40.3,0.3,1.13,0.69,3.92,1,38.9,63.9,0.58,50.4,8.9,63.7,23.1,8.5,4.6,62.6,14.6,76.7,3.46,74,1,0.552,Medium
Honduras,HND,111.89,10.645,93.5,3232,39.8,1.01,0.94,5.61,12.09,23,59.7,76.1,0.05,20.4,5.1,70.7,20.9,5.4,4.3,51.3,6.1,45.9,16.72,780,1,0.624,Medium
"Hong Kong SAR, China",HKG,1.05,7.536,7060.1,50532,0,4.42,3.34,,,,95.6,291.9,,2.5,7.8,83.7,4.4,8.7,21.6,65.9,3.9,0.4,116.81,6043,3,0.956,Very High
Hungary,HUN,91.26,9.592,105.7,22142,27.1,4.9,1.55,3.3,11.02,46,91.5,104.1,,2.5,7,76,9.3,14.2,20.8,72.1,4.1,15.3,96.15,4456,2,0.851,Very High
Iceland,ISL,100.83,0.393,3.8,79637,6,9.31,2.21,,16.37,0,99.9,122.5,0.04,2.5,5.5,82.2,11.5,7,15.3,84.1,3.6,82.4,,49789,3,0.959,Very High
India,IND,2973.19,1438.07,479.4,2481,63.6,1.89,1.11,8.26,3.69,3068,43.4,80.6,0.05,13.7,9.6,67.7,16.3,9.1,6.9,29.9,4.2,34.9,25.18,1043,1,0.644,Medium
Indonesia,IDN,1892.555,281.19,147.3,4876,41.4,2.48,0.61,4.11,12.11,676,69.2,114.9,0.09,7.2,10.6,68.2,16.2,9.6,7,54.6,3.4,20.2,37.39,1267,1,0.713,High
"Iran, Islamic Rep.",IRN,1622.5,90.609,55.2,4466,22.7,7.67,0.36,17.32,26.11,650,81.7,164.5,0.03,6.5,9.1,74.6,13.2,6.2,7.9,15.1,9.1,0.9,163.37,3699,2,0.78,High
Iraq,IRQ,434.128,45.074,101.5,5565,28.4,4.4,,4.12,6.99,459,78.7,98.2,0.01,16.1,10.7,71.3,27,4.4,3.4,11.7,15.5,1.1,63.7,1631,1,0.673,Medium
Ireland,IRL,68.89,5.308,75,103888,35.5,7.31,1.9,1.03,20.96,9,95.6,113.3,,2.5,3,83.1,11.2,6.9,15.5,71.8,4.3,12.7,113.84,6082,3,0.95,Very High
Isle of Man,IMN,0.57,0.084,147.6,94300,46.5,,,,,,,,,,6.3,80.8,8.6,10.5,22.7,,,2.7,,,,,
Israel,ISR,21.64,9.757,433.1,52642,7.1,6.46,1.96,12.17,13.19,178,91.9,152.2,,2.5,8.5,82.7,19,5.4,12.4,71.2,3.4,6.2,112.44,6556,3,0.915,Very High
Italy,ITA,295.72,58.993,199.6,39003,28,5.47,1.92,3.17,12.36,338,87,133,0.04,2.5,6.4,82.9,6.7,12.1,24.2,56.8,7.6,17.5,96.8,4927,2,0.906,Very High
Jamaica,JAM,10.83,2.84,262.2,6840,42.6,2.14,0.98,4.48,16.18,6,85.1,106.2,0.5,7.3,11.1,70.6,11.5,8.8,7.9,64.1,4.4,10.5,42.31,1162,1,0.706,High
Japan,JPN,364.5,124.517,343.3,33767,8,8.65,1.15,2.53,21.45,261,84.9,167.5,,3.4,6.6,84,6.3,12.9,29.6,75,2.6,8.8,129.5,7250,3,0.92,Very High
Jordan,JOR,88.794,11.439,126.8,4456,8,2.09,,15.08,7.91,116,90.5,67.6,0.01,17.9,15.4,74.2,21.6,4,4.3,14.5,17.9,11.5,33.21,1775,1,0.736,High
Kazakhstan,KAZ,2699.7,20.33,7.4,12919,41.8,12.27,0.47,2.45,11.62,71,92.9,130.4,,2.5,6.6,74.4,20.6,6.8,8.3,73.1,4.8,2,179.32,5224,3,0.802,Very High
Kenya,KEN,569.14,55.339,95.3,1952,70.5,0.4,1.37,4.08,9.29,24,40.8,121.7,0.46,34.5,4,62.1,27.5,7.8,2.9,72.5,5.7,67.7,5.49,181,1,0.601,Medium
Kiribati,KIR,0.81,0.133,161.1,2107,42.2,0.57,,,9.97,,54.4,48.8,,3.7,22.1,67.7,26.7,6.2,4.1,,,41.9,8.51,207,1,0.628,Medium
"Korea, Dem. People's Rep.",PRK,120.41,26.418,218.7,,36.8,2.07,,,,1469,,23.1,,,8.6,73.6,13.1,9.4,12,78.8,3,14.7,24.06,850,1,,
"Korea, Rep.",KOR,97.6,51.713,529.4,33121,18.5,12.3,1.13,10.57,14.41,569,97.4,148.6,,2.5,6.8,82.7,4.9,7.3,18.3,62,2.6,3.6,234.67,11126,3,0.929,Very High
Kosovo,XKX,,1.756,,5960,,,,3.83,,,,,,,,79.5,11.1,5.7,9.6,,,,51.8,3741,2,,
Kuwait,KWT,17.82,4.853,257.6,33730,0,23.99,0.28,11.58,9.92,25,99.7,181,,2.5,24.9,80.3,9.7,2.6,3,50.2,2.1,0.1,389.85,16081,3,0.847,Very High
Kyrgyz Republic,KGZ,191.8,7.1,36.4,1970,62.2,1.48,,4.32,8.56,21,79.8,130.4,0.11,6.1,6.6,72,21.5,4.5,5.4,56.7,4,27.6,28.96,2095,1,0.701,High
Lao PDR,LAO,230.8,7.665,32.8,2067,61.8,2.66,,,4.41,129,66.2,65,0.14,5.4,6.2,69,21.5,6.2,4.5,58.8,1.2,49.2,34.6,1670,1,0.62,Medium
Latvia,LVA,62.23,1.877,30.2,22503,31.3,3.57,1.55,5.16,14.19,9,92.2,117.1,0.19,2.5,5.9,74.6,8.5,16.4,21.3,75.6,6.5,44,65.91,3634,2,0.879,Very High
Lebanon,LBN,10.23,5.773,561.5,3654,10.6,4.14,0.79,13.84,16.7,80,90.1,76.7,,9.6,8,74.4,14.6,8.9,9.8,31.3,11.6,6.8,46.48,706,1,0.723,High
Lesotho,LSO,30.36,2.311,75.3,916,69.6,0.34,,2.6,7.95,2,47,67.5,3.03,,4.6,53,25.8,14.1,3.8,59.5,16.5,34.9,8.05,360,1,0.521,Low
Liberia,LBR,96.32,5.493,55.8,772,46.4,0.3,,1.61,3.66,2,30.1,31.8,0.24,38.4,2.1,61.1,31,8.6,3.3,73.5,2.9,92.8,1.85,39,1,0.487,Low
